book_id,title
12280355,Théorie mécanique de la chaleur
13309704,The schoolmaster
12053858,Vie illustrée de Garcia Moreno
13464659,Extrait du dictionnaire biographiques des hommes du nord
13227343,El Derecho de la Guerra conforme à la moral
12606472,Catalogue des tableaux
11788277,Les ophidiennes (scènes de la vie moderne)
12365339,"Beknopte uitlegging der Staatswetten, grondwet, provincie- en gemeentewet"
11317855,Iconographia mariana
13717014,Versuch einer Koibalischen und Karagassischen Sprachlehre nebst Wörtervetzeichnissen aus den tatarischen Mundarten des Minussinschen Kreises
13584893,Les sept merveilles du Cambrésis
12203112,Arithmétique pratique à l'usage des écoles primaires et moyennes
13506067,Dogma socialista de la Associacion Mayo
13062997,Mittheilungen aus dem Gebiete der Numismatik und Archaeologie / Notizie peregrine di numismatica e d'archeologia
11267129,Voyage en terre sainte
12621355,Tooneelstukken
22431079,L'inauguration de l'Empire Libéral. Le Roi Guillaume
11855462,"Eustaquio, episodio de los primeros tiempos del cristianismo, seguido de algunos cuentos escogedos"
13617662,"San Girolamo, il dottore massimo, dimostrato evidentemente di patria istriano"
22097645,Eight report of the science and art department of the committee of council on education
12715640,Sur les distances moyennes à la côte dans les océans
12856440,La quinte-essence sociale
12656353,Juarez et César Cantu
11915638,Memoria geo-zoologica sugli Echinidi fossili del contado di Nizza
11317498,Recherches historiques sur la ville et les anciennes baronnies de Tonneins
13477972,Narrative of an expedition to explore the river Zaire
13624618,A toutes les gloires de l'ancien pays de Liége
13387842,Leçons nouvelles de Cosmographie
11819890,Modellen en opgaven van brieven
11709058,"De Helle, een punt van ons geloof"
11614986,L'ingénieur-conseil a l'Exposition de Paris 1878
11643811,Réflexions morales ou maximes à suivre pour être heureux
12094560,Recherches sur la bibliothèque du Grand Condé
13026140,La Migration des Symboles
11460952,Lives of british statesmen
11441066,Balistique
11434602,Guide officiel de la correspondance télégraphique
11390557,"Vie et mort édifiantes de Monseigneur Auguste-Denis Affre, archevêque de Paris"
12387377,Théorie des sciences
22335868,Theologia moralis generalis
