book_id,title,year,country_code,country_name
11631782,Nuova Guida Ovvero Descrizione Storico-Artistico-Critica della Città e Contorni di Firenze,1842,it,Italy
13377992,Mémoires d'anthropologie,1871,fr,France
11586596,Rhein-und Ahr-Wanderungen,1846,gw,Germany
13306387,Untersuchungen über die Glaubwürdigkeit der altrömischen Geschichte,1858,gw,Germany
13308643,Etude littéraire sur le XIVème Siècle,1857,be,Belgium
12918565,Précis d'histoire contemporaine de Belgique,1889,be,Belgium
11756111,Geschichte der Niederfränkischen Geschafatssprache,1874,gw,Germany
13713107,La mère de Don Juan,,be,Belgium
12822354,Traité de la Science des Finances,1888,fr,France
11941261,Paris-Berlin,1870,be,Belgium
12506787,Res gestae divi Augusti,1883,gw,Germany
17581069,Les grandes armoiries du Duc Charles de Bourgogne,1877,be,Belgium
12060389,De la peine de mort,1868,fr,France
13471807,"A list of delegates to the Peace Congress held in Exeter Hall, London, on July 22nd, 23rd, and 24th, 1851",1851,enk,United Kingdom
12057087,Della collocazione dei libri nelle pubbliche biblioteche,1890,it,Italy
11417246,La belgique en dix-huis cent cinquante-deux,1852,fr,France
11844795,Conseil provincial du Hainaut. Session de 1843,1843,xx,Unknown
12511497,Les archives départementales du Nord pendant la Révolution,1873,fr,France
13558225,Flandrische Staats- und Rechtsgeschichte bis zum Jahr 1305,1835,gw,Germany
13706653,Über die Nibelungenhandschrift h und die Iweinhandschrift a,1899,gw,Germany
12243063,"Etudes Economiques, Politiques et Littéraires",1878,fr,France
11337874,Leven van Zuster Rosalia,1862,be,Belgium
22070468,Geogenische und geognostische Studien auf einer Reise durch Russland und den Ural,1862,gw,Germany
12592657,Mémoires de l'Académie Impériale de Médecine,1867,fr,France
11997678,"Carmen Saeculare Belgicum (1879-1887). Summo Pontifici Leoni XIII, occasione Suae Sanctitatis a sacro presbyteratu anniversarii quinquagesimi oblatum dedicatumque",1887,be,Belgium
22264032,Anvers & la nationalité Belge,0,xx,Unknown
11673033,De la suppression du péage de l'Escaut,1862,be,Belgium
13223670,Aanteekeningen betreffende eene reis door de Molukken,1856,ne,Netherlands
12576673,Ambroise Paré d'après de nouveaux Documents découverts aux Archives Nationales et des Papiers de Famille,1884,fr,France
13416832,Dictionnaire de procédure civile et commerciale,1850,fr,France
13459808,Lo studio generale a Mondovi (1560-1566),1895,it,Italy
12852240,Sermoenen op de Gedachtenis der geloovige zielen,1898,be,Belgium
11661571,Inventaire général analytique des archives de la ville et de l'église primaire de Saint-Nicolas (Waes),1872,be,Belgium
11719491,"Commentaire de la loi du 18 avril 1851 sur les faillites, banqueroutes et sursis",1851,be,Belgium
11668121,"De Aftocht van Moscou, of lotgevallen van een Belgisch soldaat in Rusland",1880,be,Belgium
12045242,Bulletin de l'Association littéraire internationale,1883,fr,France
11539582,Essai d'interprétation de l'action évacuante du tartre stibié,1878,be,Belgium
11917048,Méthode analytique & synthétique de lecture,1886,be,Belgium
12597487,Le parc de Bruxelles,1849,be,Belgium
12096853,Journal de la Société d'archéologie et du Comité du musée Lorrain,1840,fr,France
22469572,Leesboekje voor onze vlaamsche scholen,1889,be,Belgium
12265260,Élans du coeur,1855,be,Belgium
12672180,"Généalogie historique, anecdotique et critique de la maison Du Prat",1857,fr,France
11983077,De lone Chio,1890,fr,France
12015784,Le codex bruxellensis,1876,be,Belgium
11292419,Congrès général d'hygiène de Bruxelles,1852,be,Belgium
11773897,Le crime du 4 septembre,1871,be,Belgium
11697149,Épilepsie et autres maladies nerveuses,1878,be,Belgium
13536860,Une page d'histoire de l'ancien couvent des FF. Mineurs Capucins de Bruges,1867,be,Belgium
22266034,D. O. M.,1845,be,Belgium
13549607,Oeuvres et correspondance inédites de J. J. Rousseau,1861,fr,France
13712761,"Joyeuse entrée et inauguration de l'archiduc Charles à Anvers, en 1515",,be,Belgium
12910698,Constitution de l'espace céleste,1889,fr,France
13587933,Catalogue of works of industrie and art sent from Sweden,1862,enk,United Kingdom
11330688,Le bienheureux Jean Berchmans de la compagnie de Jésus,1866,be,Belgium
11330688,Le bienheureux Jean Berchmans de la compagnie de Jésus,1866,ne,Netherlands
11821325,Lethaea geognostica oder abbildung und beschreibung der für die gebirgs-formationen bezeichnendsten,1850,gw,Germany
12485658,Le droit international dans les rapports des slaves méridionaux au moyen âge,1896,be,Belgium
12485658,Le droit international dans les rapports des slaves méridionaux au moyen âge,1896,fr,France
12485658,Le droit international dans les rapports des slaves méridionaux au moyen âge,1896,ne,Netherlands
12988859,De la Lésion à l'Egard des Mineurs dans le Droit Romain et dans le Droit Français,1883,fr,France
12079295,Cours d'accouchements,1869,be,Belgium
13655350,"Alumni pontificii collegii Urbani de propaganda fide, anno 1859",1859,it,Italy
11852694,Rapport sur les progrès de la Chirurgie,1867,fr,France
13014045,Histoire de la Savoie et du Piémont,1883,fr,France
11811047,Arthur de Cantorbry et Jules Péronnet,1847,be,Belgium
12578124,Histoire du Roi de Rome (Duc de Reichstadt),1852,fr,France
13240703,Doctrine de la Nouvelle-Jérusalem sur l'Écriture Sainte,1855,fr,France
11494340,Exposition des académies et écoles des beaux-arts et congrès de l'enseignement des arts du dessin,1869,be,Belgium
12020348,Voltaire au Château de Cirey,1868,fr,France
13139690,Le Cardinal de Richelieu,1870,fr,France
11999468,Art poétique d'Horace,1846,fr,France
12090697,Simples lectures préparant à l'étude de la géographie,1889,be,Belgium
12133634,"Rome, ses monuments, ses souvenirs.",1890,fr,France
12133634,"Rome, ses monuments, ses souvenirs.",1890,be,Belgium
12517879,Poésies chrétiennes,1896,be,Belgium
13456166,Lehrbuch der Eisen-Emaillirkunst,1851,gw,Germany
11260850,Le prince des prosateurs,1899,be,Belgium
12549922,Die Schwestern,1883,gw,Germany
