book_id,language
13681452,fre
11609478,fre
12393048,fre
12521959,fre
12756734,dut
12944200,fre
11837033,fre
12398469,ita
13656219,fre
12922933,fre
12132733,fre
12830674,fre
11493695,fre
13696100,ger
12227120,ita
12504828,fre
11841367,fre
11449003,ger
11436804,fre
13560173,fre
12262514,fre
11957020,fre
12045646,fre
12984328,fre
12138337,fre
11767356,fre
12170331,fre
13464625,fre
12217172,ita
11811220,fre
13481292,ita
13350367,fre
12126392,dut
11900402,ita
12264611,dut
22111343,ger
12034997,fre
11518224,fre
11448868,fre
12332549,fre
12582186,fre
13702261,fre
13210012,fre
22099729,fre
12111076,fre
12364974,fre
13602008,fre
13514261,spa
12653326,fre
22239173,ger
12451844,fre
13134569,fre
13355409,fre
12235763,fre
12805836,fre
11697487,fre
13498850,fre
12360425,fre
12352873,dut
12877293,fre
13648179,fre
22250149,fre
12754923,fre
11957850,fre
12260702,fre
13288613,fre
11842610,dut
12738269,fre
13278581,fre
12559570,ita
11939495,ita
12101977,dut
12527847,fre
11664391,fre
13698132,fre
13028209,fre
13221334,eng
11661612,fre
12454260,fre
11654399,fre
13434965,fre
12841004,fre
11717077,fre
13604492,fre
12055380,fre
12608659,eng
12457043,fre
12040415,fre
12586168,fre
12807640,fre
22418918,dut
12238472,fre
22120643,fre
12021710,eng
13649323,por
12555624,fre
22091068,fre
13436304,fre
12614108,ita
11278860,ger
22069439,ger
13664296,fre
11700409,fre
12840898,dut
12168641,fre
13116535,fre
12929945,fre
13482931,multiple languages
12664581,fre
22174649,fre
12772400,fre
12099512,fre
12397599,fre
12167526,ger
11688120,fre
11716408,ger
13254176,eng
11424504,ger
13372664,fre
12721536,dut
11959386,fre
17160611,fre
12458887,fre
12438570,dut
22288578,fre
13711195,fre
22049585,fre
12716699,fre
12997037,fre
12060019,eng
12426647,fre
11654251,ita
13592894,fre
11458675,ita
11490274,lat
13435384,fre
12337450,lat
12582726,fre
13475369,eng
12798559,fre
12663557,fre
12439258,fre
11689390,fre
12638220,fre
11908570,dut
11489462,ger
12757785,fre
11618572,eng
12512186,fre
13365636,fre
13651604,fre
11579777,fre
13725989,ger
22264513,fre
12674208,fre
12280007,dut
11695983,fre
12829602,fre
13675550,eng
12467212,ita
12896107,fre
13629177,fre
11404781,fre
12975355,fre
12574255,fre
12211605,lat
11982055,lat
13367644,eng
13011320,ger
11267077,fre
22170679,fre
18161352,spa
11673612,fre
12955385,fre
13548586,fre
12944918,fre
12634261,eng
12128234,fre
11763078,fre
12125718,fre
22426311,fre
11700369,multiple languages
11687876,fre
12962372,fre
13706485,ger
13140912,fre
12166184,fre
13042984,ger
13227043,spa
12442192,ger
11318977,fre
13224039,ita
13011162,fre
11383692,fre
12105079,fre
22178188,spa
13510451,spa
12546088,ger
12459178,fre
13690201,fre
11853528,fre
12171344,lat
13529221,dut
11569291,fre
15138176,dut
11540667,fre
11974732,fre
12518106,fre
15568683,lat
11588617,fre
12728858,multiple languages
13040461,fre
13333107,fre
11658726,multiple languages
15430911,fre
11937571,multiple languages
11556419,fre
11556674,dut
11520346,ger
11918873,fre
13277969,ita
11621481,fre
13635129,fre
11910695,fre
13136111,eng
17274664,fre
17688383,fre
13514958,ger
12755406,fre
13077036,fre
13597360,fre
13253450,ger
15509939,fre
13194505,fre
11553929,fre
13222602,fre
13229036,ita
11340561,fre
12406023,ita
13105122,rus
12453864,fre
12170689,ger
11684230,fre
15771476,fre
12174443,fre
12152755,fre
13330436,fre
13556450,fre
13625138,lat
13397456,fre
11780297,eng
12667165,fre
13083571,fre
15566065,dut
13292706,fre
12170151,eng
22563242,rus
15509832,fre
18499098,lat
12982019,lat
12980525,ger
11788213,fre
18336655,dut
12710920,fre
11338853,eng
17684784,fre
12290034,fre
13075011,fre
13005794,ger
15508146,fre
18430045,spa
15200404,fre
13259256,fre
13027381,fre
12293638,fre
13596609,fre
11784903,fre
12155943,fre
13511302,fre
12356326,fre
15552831,fre
12291189,fre
11286510,dut
12148962,fre
13070717,fre
12190758,fre
11931676,ger
12816807,fre
13221558,dut
17613932,fre
18425911,fre
11286194,dut
12392368,fre
13043330,lat
13210643,fre
12509346,fre
12207829,fre
15508881,fre
12299252,fre
12271427,ita
18410307,dut
17694456,fre
11339500,ger
15505473,fre
13408564,fre
13143113,ita
12679390,fre
12298222,fre
12239340,eng
12309375,fre
13027886,fre
18286965,dut
12137464,fre
11914077,lat
12755658,fre
13078278,fre
13028683,ger
14988554,fre
13550704,dut
11312867,fre
13332971,fre
12428009,fre
13114454,fre
13462203,eng
11913398,fre
13661458,eng
11288125,fre
22730184,fre
11938983,eng
12802062,fre
13239859,fre
15492303,fre
11344772,fre
13327253,fre
13189383,fre
11568978,fre
15803771,fre
18395999,lat
15509481,fre
11552832,fre
13471006,fre
12161480,fre
13241731,fre
15589584,dut
13523918,eng
12138317,fre
12358710,fre
12359151,dut
11643312,fre
11688025,fre
12160975,fre
12711716,fre
12360294,fre
12000148,ita
11814852,fre
18256479,lat
12158135,fre
13073096,fre
12240864,fre
13294545,fre
12141633,fre
11592049,ger
18249428,lat
13158895,fre
11913150,fre
22555002,fre
13330404,fre
13401752,fre
12214467,fre
11739247,fre
12202212,fre
15480075,fre
13540814,fre
12861692,fre
11951722,fre
13633872,fre
13156156,fre
12151233,fre
12299832,fre
12408801,ita
11703282,ita
12424452,fre
11734618,dut
15514048,fre
11556537,spa
13532899,fre
13732370,ger
13396259,ita
11919482,fre
11795091,fre
