book_id,title,year,language,publisher_name_cleaned,period
22469572,Leesboekje voor onze vlaamsche scholen,1889,dut,,1861-1890
12265260,Élans du coeur,1855,fre,,1831-1860
12672180,"Généalogie historique, anecdotique et critique de la maison Du Prat",1857,fre,,1831-1860
11983077,De lone Chio,1890,lat,Ernest Leroux,1891-1901
12015784,Le codex bruxellensis,1876,fre,,1861-1890
11292419,Congrès général d'hygiène de Bruxelles,1852,fre,,1831-1860
11773897,Le crime du 4 septembre,1871,fre,,1861-1890
11697149,Épilepsie et autres maladies nerveuses,1878,fre,,1861-1890
13536860,Une page d'histoire de l'ancien couvent des FF. Mineurs Capucins de Bruges,1867,fre,,1861-1890
22266034,D. O. M.,1845,fre,,1831-1860
13549607,Oeuvres et correspondance inédites de J. J. Rousseau,1861,fre,,1861-1890
13712761,"Joyeuse entrée et inauguration de l'archiduc Charles à Anvers, en 1515",,fre,,
12910698,Constitution de l'espace céleste,1889,fre,,1861-1890
13587933,Catalogue of works of industrie and art sent from Sweden,1862,eng,,1861-1890
11330688,Le bienheureux Jean Berchmans de la compagnie de Jésus,1866,fre,,1861-1890
11821325,Lethaea geognostica oder abbildung und beschreibung der für die gebirgs-formationen bezeichnendsten,1850,ger,Schweizerbat'Sche Verlagshandlung Und Druckerei,1831-1860
12485658,Le droit international dans les rapports des slaves méridionaux au moyen âge,1896,fre,Gebroeders Belinfante,1891-1901
12988859,De la Lésion à l'Egard des Mineurs dans le Droit Romain et dans le Droit Français,1883,fre,,1861-1890
12079295,Cours d'accouchements,1869,fre,,1861-1890
13655350,"Alumni pontificii collegii Urbani de propaganda fide, anno 1859",1859,lat,,1831-1860
11852694,Rapport sur les progrès de la Chirurgie,1867,fre,Imprimerie Impériale,1861-1890
13014045,Histoire de la Savoie et du Piémont,1883,fre,Alfred Mame & Fils,1861-1890
11811047,Arthur de Cantorbry et Jules Péronnet,1847,fre,,1831-1860
12578124,Histoire du Roi de Rome (Duc de Reichstadt),1852,fre,,1831-1860
13240703,Doctrine de la Nouvelle-Jérusalem sur l'Écriture Sainte,1855,fre,,1831-1860
11494340,Exposition des académies et écoles des beaux-arts et congrès de l'enseignement des arts du dessin,1869,fre,,1861-1890
12020348,Voltaire au Château de Cirey,1868,fre,,1861-1890
13139690,Le Cardinal de Richelieu,1870,fre,,1861-1890
11999468,Art poétique d'Horace,1846,fre,,1831-1860
12090697,Simples lectures préparant à l'étude de la géographie,1889,fre,,1861-1890
12133634,"Rome, ses monuments, ses souvenirs.",1890,fre,"Société Saint-Augustin, Desclée, De Brouwer & Cie",1891-1901
12517879,Poésies chrétiennes,1896,fre,,1891-1901
13456166,Lehrbuch der Eisen-Emaillirkunst,1851,ger,Friedrich Vieweg & Sohn,1831-1860
11260850,Le prince des prosateurs,1899,fre,,1891-1901
12549922,Die Schwestern,1883,ger,,1861-1890
12014661,"Livres payés en vente publique 1000fr et au-dessus, Depuis 1866 jusqu'à ce jour aperçu sur la vente Perkins à Londres",1877,fre,,1861-1890
22121160,Memorial addresses on the life and character of Michael Crawford Keer,1877,eng,,1861-1890
11590034,Exercices d'arithmétique pour les écoles primaires,1879,fre,Typographie De D. Aug. Peeters-Ruelens,1861-1890
11630744,Twee novellen,1880,dut,Dirix,1861-1890
14989134,"Lettre et rapport du Comité de l'Assemblée du Commerce de Bruxelles, a Messieurs du Magistrat, sur le projet de l'abolition des douanes dans les Pays-Bas autrichiens",1788,fre,"Flon, Emmanuel",1751-1800
13123241,Notice sur les travaux scientifiques de M. Oechsner de Coninck,1884,fre,,1861-1890
11586432,Société libre d'Émulation de Liège.,1879,fre,,1861-1890
11404232,Epitre à Monsieur Bouniol de Saint-Geniez,1852,fre,,1831-1860
12021269,The New American Practical Navigator,1874,eng,,1861-1890
12030823,"Analyse alphabétique des lois, ordonnances et règlements généraux de police en vigueur en Belgique",1898,fre,,1891-1901
13356738,Faculté de Droit de Bordeaux,1894,fre,Imprimerie Cadoret,1891-1901
11357452,Evangile d'amour,1887,fre,Edinger,1861-1890
13011627,An account of the Wild Tribes,1865,eng,Imperial Printing-Office,1861-1890
13496940,La chasse a l'idéal,1867,fre,Librairie De L. Hachette & Cie,1861-1890
12489264,Volledige Cursus der fransche taal,,multiple languages,Gebroeders Callewaert,
12704852,1815,1898,fre,,1891-1901
11536087,Au bagne,1877,fre,,1861-1890
13449812,Traité complet de l'anatomie des animaux domestiques,1840,fre,,1831-1860
12567417,Lettres écrites en Russie et en Sibérie,1863,rus,Eric Biornström,1861-1890
11736212,Frederik van Heilo en zijn schriften,1866,dut,D.B. Centen,1861-1890
11457009,Guide to Spa,1875,eng,,1861-1890
12764605,Sprachlehre um nach Ollendorff's Methode mittelst Selbstunterricht in der fürzeft möglichen Zeit (...),1850,ger,,1831-1860
13654349,A roll of the graduates of the University of Glasgow from 31st December 1727 to 31st December 1897,1898,eng,,1891-1901
12740989,Traité de la génération des animaux,1887,fre,,1861-1890
12612067,Collégiale de Sainte Pharaïlde à Gand,1852,fre,,1831-1860
12245718,Notice sur deux monuments anciens,1848,fre,,1831-1860
13601423,Rembrandt Harmens Van Rijn,1863,fre,,1861-1890
13213333,Registers op het archief,1856,dut,,1831-1860
12336744,Certamen literario que para conmemorar el segundo centanario del fallecimiento del dramatico insigne D. Pedro Calderon de la Barca celebraron la Universidad de Barcelona y el instituto provincial de 2.a enseñanza el dia 25 de Mayo 1881,1881,spa,,1861-1890
13257742,Ueber die Contagiosität der Eingeweidewürmer nach Versuchen und über das physiologische Leben der mikroskopischen Zellen nach empirischen thatsachen,1844,ger,"Mauke, Friedrich",1831-1860
11707170,Muséum des sciences naturelles de Lyon,1884,fre,,1861-1890
