book_id,year
13657181,1863
12059872,1869
22221437,1886
12012012,1858
13701205,1900
12863968,1890
12588188,1882
13490755,1895
11896972,1886
11903636,1886
13684419,1858
12021738,1876
11792123,1796
11299321,1865
12463409,1896
13410515,1887
11428290,1864
11306007,1866
11664535,1870
13010298,1852
13081040,1836
13683374,1895
13425348,1846
13703077,1864
11629007,1839
11938154,1887
12773432,1883
13053049,1851
11333028,1863
13492907,1895
11685345,1869
13585152,1872
13444966,1838
13578583,1896
13100807,1892
11651270,1881
13303922,1894
12976669,1851
13247643,1887
11690823,1874
12040450,1877
12764226,1899
12507840,1883
12667259,1898
12636650,1881
13122346,1849
12091637,1890
12088160,1878
11994276,1875
22292621,1860
11828894,1884
12226629,1892
12303599,1842
13298512,1840
13060391,1882
12859097,1881
13610804,1848
12311723,1851
15551544,1787
11269355,1865
11799468,1874
13263380,1837
12894350,1846
12526269,1882
13383840,1895
11565633,1878
13450569,1872
12024234,1888
12680988,1898
15097212,1787
13392001,1886
13025659,1891
12743788,1899
13277861,1891
12118295,1890
11716717,1883
12035742,1889
12281486,1878
12748520,1899
11827004,1869
13033181,1849
11330764,1865
11307649,1899
12483445,1895
12726469,1830
11884002,1872
11670422,1856
13122198,1879
11716994,1891
13367103,1879
11673380,1863
13613519,1853
11705521,1837
12257890,1878
12381463,1828
13338602,1868
11676770,1867
13553998,1846
12785113,1870
11335078,1864
12014613,1888
12994351,1884
12422803,1895
12183096,1891
12900596,1840
12070849,1889
12144268,1890
12511674,1844
11263218,1901
12144122,1828
12802149,1900
13289123,1862
12023321,1874
11491384,1876
11846790,1850
11645216,1871
13448864,1832
12965311,1837
12254565,1892
11612200,1868
22193759,1882
13472939,1859
15102782,1790
13455308,1855
11520593,1841
12056542,1852
17204157,1896
12461056,1896
12160563,1877
12136271,1890
11763311,1871
11834824,1871
12285884,1844
12344937,1832
12384864,1895
11703392,1881
12205107,1869
12558486,1897
11275038,1862
12846755,1856
15099949,1788
12877580,1843
12733487,1898
11451032,1835
22262150,1877
12735452,1899
17204494,1897
12650922,1866
12276371,1853
12882267,1901
12991521,1880
12738805,1899
12247257,1860
11785331,1823
12808903,1842
13553957,1839
13065895,1852
12591087,1897
11948317,1826
13675903,1878
11265805,1844
