book_id,city_name
15508146,[Lieu de publication non identifié]
18430045,En Brucelas
15200404,A Paris
15200404,et se vend a Bruxelles
13259256,Paris
13027381,Genève
12293638,Paris
13596609,Paris
11784903,Bruxelles
12155943,Bruxelles
13511302,Bruxelles
12356326,Paris
15552831,A Bruxelles
12291189,Paris
11286510,Amsterdam
12148962,Paris
13070717,Paris
12190758,Alais
11931676,Wien
12816807,Paris
13221558,Gent
17613932,Bruxelles
17613932,Paris
17613932,(Anvers
18425911,[Lieu de publication non identifié]
11286194,Amsterdam
12392368,Paris
13043330,Batavia
13210643,Rome
12509346,Paris
12207829,Paris
15508881,[Bruxelles?
12299252,Bruxelles
12271427,Napoli
18410307,"Herdruckt, tot Brussel"
17694456,Namur
11339500,Breslau
15505473,En Brabant
13408564,Paris
13143113,Pisa
12679390,Paris
12298222,Bruxelles
12298222,Paris
12239340,London
12309375,Liège
12309375,Paris
13027886,[Salzbourg
18286965,Tot Brussel
12137464,[Belgique]
11914077,Lundae
12755658,Mons
13078278,Paris
13028683,Berlin
14988554,A Paris
14988554,et se trouve à Bruxelles
13550704,Purmerende
11312867,Lyon
13332971,Paris
12428009,Bruxelles
13114454,Genève
13462203,London
11913398,Bordeaux
13661458,London
11288125,Paris
22730184,Bruxelles
11938983,London
12802062,Paris
13239859,Paris
15492303,Bruxelles
11344772,[Bruxelles?]
13327253,Gand
13189383,Bruxelles
11568978,Bruxelles
15803771,A Paris
15803771,et se trouve a Bruxelles
18395999,Bruxellis
15509481,[Lieu de publication non identifié]
11552832,A Bruxelles
13471006,Gand
12161480,Paris
13241731,Paris
15589584,[Brussel?
13523918,Brussels
12138317,Liége
12358710,Paris
12359151,Antwerpen
11643312,Bruxelles
11688025,Ath
12160975,Paris
12711716,Gand
12360294,Paris
12000148,Paris
12000148,Torino
11814852,Reims
18256479,Bruxellae
12158135,Paris
13073096,Paris
12240864,Paris
13294545,Mons
12141633,Courtrai
11592049,Aachen
18249428,Bruxellae
13158895,Caen
11913150,Cherbourg
22555002,Paris
