book_id,country_code
12485658,be
12485658,fr
12485658,ne
12988859,fr
12079295,be
13655350,it
11852694,fr
13014045,fr
11811047,be
12578124,fr
13240703,fr
11494340,be
12020348,fr
13139690,fr
11999468,fr
12090697,be
12133634,fr
12133634,be
12517879,be
13456166,gw
11260850,be
12549922,gw
12014661,fr
22121160,xxu
11590034,be
11630744,be
14989134,be
13123241,fr
11586432,be
11404232,fr
12021269,xxu
12030823,be
13356738,fr
11357452,fr
13011627,fr
13496940,fr
12489264,be
12704852,fr
11536087,be
13449812,fr
12567417,sw
11736212,ne
11457009,be
12764605,gw
13654349,stk
12740989,fr
12612067,be
12245718,xx
13601423,ne
13213333,ne
12336744,sp
13257742,gw
11707170,fr
11707170,sz
13741360,fr
13107841,be
13000354,fr
12129740,be
12378483,fr
13657181,xxk
12059872,xxk
22221437,fr
12012012,fr
13701205,fr
12863968,be
12588188,fr
13490755,gw
11896972,be
11903636,be
13684419,fr
12021738,xxu
11792123,be
11299321,fr
12463409,be
12463409,fr
13410515,fr
11428290,fr
11306007,fr
11664535,fr
13010298,gw
13081040,gw
13683374,be
13425348,ne
13703077,gw
11629007,be
11938154,fr
12773432,gw
13053049,ne
11333028,be
13492907,fr
11685345,be
13585152,fr
13444966,gw
13578583,ne
13100807,be
11651270,be
13303922,be
12976669,gw
13247643,enk
11690823,be
12040450,enk
12764226,be
12507840,gw
12667259,be
12636650,cl
13122346,ru
12091637,be
12088160,fr
11994276,fr
22292621,be
11828894,be
12226629,be
12303599,fr
13298512,fr
13060391,fr
12859097,be
13610804,be
12311723,gw
15551544,be
11269355,fr
11799468,be
13263380,it
12894350,fr
12526269,fr
13383840,gw
11565633,be
13450569,be
12024234,be
12680988,be
15097212,be
13392001,xxk
13025659,it
12743788,be
13277861,sp
12118295,be
11716717,be
12035742,be
12281486,be
12748520,be
11827004,fr
13033181,fr
11330764,be
11307649,ag
12483445,be
12726469,enk
11884002,it
11670422,fr
13122198,fr
11716994,be
13367103,fr
11673380,be
13613519,be
11705521,be
12257890,it
12381463,ru
13338602,fi
11676770,ne
13553998,gw
12785113,fr
11335078,be
12014613,be
12994351,fr
12422803,be
12183096,be
12900596,be
12070849,fr
12144268,be
12511674,be
11263218,fr
12144122,be
12802149,be
13289123,fr
12023321,xxu
11491384,be
11846790,be
11645216,gw
13448864,fr
12965311,be
12254565,be
11612200,be
22193759,ne
13472939,be
15102782,be
13455308,au
11520593,be
12056542,be
17204157,be
12461056,be
12160563,fr
12136271,it
11763311,be
11834824,fr
12285884,fr
12344937,ne
12384864,be
11703392,be
12205107,fr
12558486,be
11275038,it
12846755,fr
15099949,be
12877580,be
12733487,be
11451032,fr
22262150,fr
12735452,be
17204494,be
12650922,ne
12276371,fr
13470444,xxk
12882267,be
12991521,fr
12738805,be
12247257,stk
11785331,fr
12808903,fr
13553957,gw
13065895,gw
12591087,be
11948317,xx
13675903,fr
11265805,fr
13201798,be
11298463,fr
13482544,fr
11815894,fr
11561385,be
11663545,be
11294429,gw
12421570,be
13330434,fr
22284412,fr
12104036,ne
12557948,fr
12351955,fr
11320203,fr
11559528,be
13298538,fr
22535080,xx
12349849,be
11451427,gw
13056281,be
12751346,be
11466698,be
11633611,be
11266800,au
15459004,gw
12239177,be
12454692,be
12283343,fr
12627702,be
11967791,be
22181165,fr
12400940,it
13703599,fr
12227668,fr
12072621,be
12990221,fr
12829332,enk
11396037,be
11273289,gw
11560681,be
12338360,fr
13054437,be
11703964,be
13704834,fr
11697764,fr
12296218,fr
13003804,fr
11590012,enk
11720268,be
12058098,be
12632936,enk
12550887,gw
13696584,sp
11330298,be
11611745,be
13717323,gw
11644831,be
11346573,hu
15101604,be
12023839,xxu
12803306,be
11952551,fr
11268495,be
12836886,it
12564913,fr
12683251,be
12365825,it
11937871,gw
11604067,gw
11764270,be
12265369,be
12104394,fr
12293803,fr
12788919,fr
12258111,fr
12812277,fr
12894945,fr
11666962,be
22069960,fr
22358131,fr
13671584,gw
13300919,gw
11996353,be
13117265,gw
12922900,fr
12492717,be
13611649,be
13351223,fr
11425201,fr
11740099,be
12280355,be
13309704,enk
12499091,fr
12239451,fr
12053858,fr
12112001,it
13464659,fr
13227343,sp
11812790,fr
11506792,fr
12606472,be
11788277,be
12365339,be
11317855,gw
13717014,gw
13584893,fr
12203112,be
13231200,gw
11279101,gw
13506067,uy
13062997,it
22175410,fr
11267129,fr
12621355,be
12742290,be
13278659,gw
13600018,fr
12818721,be
22431079,fr
11855462,be
11855462,fr
11855462,mx
13617662,it
22097645,enk
12715640,be
12856440,be
12656353,mx
11915638,it
11317498,fr
13477972,enk
12643417,it
12649927,fr
13624618,be
13387842,fr
11819890,be
11709058,be
11614986,be
11614986,fr
11643811,be
12244736,it
12094560,fr
12132265,be
13026140,fr
13303134,fr
11460952,enk
11826744,be
12318712,fr
11441066,be
11434602,be
11390557,be
11287982,fr
12387377,fr
22335868,be
22222722,gw
12274354,be
12864338,be
12259308,be
13688725,be
11995035,fr
22158188,fr
13660843,fr
12250822,be
13366413,fr
13022899,fr
13732372,fr
13315470,ja
13277408,gw
13576247,gw
12953482,be
11587924,enk
12995500,fr
11455723,gw
12931360,it
11274099,gw
12608292,dk
13602698,be
11790375,fr
22233517,be
12380724,fr
17476855,be
15099272,be
12766129,fr
13043449,enk
12552057,be
12124699,fr
13113109,gw
12055527,gw
12349545,be
13649026,po
11777063,be
13685393,fr
12384903,be
13051038,fr
12521836,pe
12444244,it
12795055,be
12573485,gw
12692604,fr
12661460,fr
12056843,be
11374094,xxk
11374094,fr
11989289,fr
12100943,ne
11754516,gw
13648732,po
11286952,gw
11731905,gw
17026797,fr
11606178,be
13132164,be
12120418,be
11504614,be
11320872,be
13532624,be
13317862,sp
13707247,gw
12211072,be
12054631,be
13426669,be
13498116,fr
13681452,fr
11609478,be
12393048,be
12521959,be
12756734,be
12944200,fr
11837033,be
12398469,it
13656219,be
12922933,fr
12132733,fr
12830674,ru
11493695,be
13696100,gw
12227120,it
12504828,fr
11841367,fr
11449003,gw
11436804,be
13560173,fr
12262514,be
11957020,be
12045646,be
12984328,fr
12138337,fr
11767356,be
12170331,fr
13464625,fr
12217172,it
11811220,be
13481292,xr
13350367,fr
12126392,be
11900402,it
12264611,be
22111343,gw
12034997,be
11518224,be
11448868,fr
12332549,fr
12582186,fr
13702261,fr
13210012,fr
22099729,be
12111076,fr
12364974,be
13602008,be
13514261,sp
12653326,fr
22239173,gw
12451844,ne
13134569,fr
13355409,fr
12235763,fr
12805836,fr
11697487,fr
13498850,fr
12360425,fr
12352873,be
12877293,be
13648179,be
22250149,fr
12754923,be
11957850,be
12260702,be
13288613,fr
11842610,be
12738269,be
13278581,be
12559570,it
11939495,it
12101977,be
12527847,be
11664391,fr
13698132,fr
13028209,fr
13221334,enk
11661612,be
12454260,fr
11654399,be
13434965,fr
12841004,be
11717077,be
13604492,be
12055380,be
12608659,enk
12457043,fr
12040415,be
12586168,fr
12807640,fr
22418918,ne
12238472,gw
22120643,sz
12021710,xx
13649323,po
12555624,be
22091068,fr
13436304,fr
12614108,it
11278860,gw
22069439,gw
13664296,fr
11700409,be
12840898,be
12168641,be
13116535,fr
12929945,fr
13482931,gw
12664581,be
22174649,fr
12772400,be
12772400,fr
12772400,gw
12099512,be
12397599,be
12167526,gw
11688120,be
11716408,gw
13254176,enk
11424504,gw
13372664,fr
12721536,be
11959386,fr
17160611,be
12458887,fr
12438570,be
22288578,be
13711195,fr
22049585,fr
12716699,fr
12997037,fr
12060019,xxk
12426647,be
11654251,it
13592894,be
11458675,it
11490274,ne
13435384,sz
12337450,fr
12582726,fr
13475369,enk
12798559,fr
12663557,fr
12439258,fr
11689390,fr
12638220,fr
11908570,be
11489462,gw
12757785,be
11618572,stk
12512186,be
13365636,fr
13651604,fr
11579777,be
13725989,gw
22264513,be
12674208,fr
12280007,be
11695983,fr
12829602,fr
13675550,enk
12467212,it
12896107,be
13629177,be
11404781,ne
12975355,fr
12574255,fr
12211605,gw
