city_name_raw,city_name_standardized,longitude,latitude,wikidata_id
Malines,Mechelen,4.480277777777777,51.028055555555554,Q162022
Ludwigsburg,Ludwigsburg,9.1919444444444,48.8975,Q622
Yperen,Ypres,2.885,50.850833333333334,Q102728
Bologna,Bologna,11.342777777778,44.493888888889,Q1891
Reims,Reims,4.0286111111111,49.265277777778,Q41876
Arnhem,Arnhem,5.9166666666667,51.983333333333,Q1310
Paderborn,Paderborn,8.766666666666667,51.71666666666667,Q2971
Firenze,Florence,11.254166666667,43.771388888889,Q2044
's Gravenhage?,The Hague,4.31,52.08,Q36600
Braunschweig,Brunswick,10.521111111111,52.269166666667,Q2773
Mechliniae,Mechelen,4.480277777777777,51.028055555555554,Q162022
Edinburgh,Edinburgh,-3.1891666666666665,55.95333333333333,Q23436
Roulers,Roeselare,3.1233333333333,50.944722222222,Q211037
Mézières,Charleville-Mézières,4.7194444444444,49.76,Q47383
Charleroi,沙勒罗瓦,4.4441666666667,50.416666666667,Q81046
Pamplona,Pamplona city,-1.64432,42.81276,Q24012386
Romae,Rome,12.482777777778,41.893055555556,Q220
Hamburg,Hamburg,10,53.55,Q1055
Clermont,Clermont-Ferrand,3.0869444444444,45.779722222222,Q42168
Clermont-Ferrand,Clermont-Ferrand,3.0869444444444,45.779722222222,Q42168
(Anvers,Antwerp,4.3997222222222225,51.221111111111114,Q12892
Boston,Boston,-71.05777777777777,42.360277777777775,Q100
Chartres,Chartres,1.4883333333333,48.446666666667,Q130272
Montpellier,Montpellier,3.8772305555556,43.610919444444,Q6441
Freiburg im Breisgau,Freiburg im Breisgau,7.85,47.995,Q2833
En Brucelas,Brussels,4.351666666666667,50.846666666666664,Q239
Huy,Huy,5.2333333333333,50.516666666667,Q207095
[Belgique],Belgique,,,
Grenoble,Grenoble,5.7263888888889,45.186944444444,Q1289
Budapest,Budapest,19.040833333333,47.498333333333,Q1781
Jena,Jena,11.586388888889,50.927222222222,Q3150
'Sgravenhage,The Hague,4.31,52.08,Q36600
Luik,Liège,5.570555555555556,50.639722222222225,Q3992
Lima,Lima,-77.0375,-12.06,Q2868
Arlon,Arlon,5.8166666666667,49.683611111111,Q675960
Batavia,Batavia,-88.3083,41.8489,Q576876
(Paris,Paris,2.352222222222222,48.85666666666667,Q90
Braine-le-Comte,Braine-le-Comte,4.136111111111111,50.609722222222224,Q95129
Digne,Digne-les-Bains,6.2355555555556,44.0925,Q181306
[Place of publication not identified],Unknown,,,
[Bruxelles?,Brussels,4.351666666666667,50.846666666666664,Q239
Gent,Ghent,3.725277777777778,51.05361111111111,Q1296
Dunkerque,Dunkirk,2.3763888888889,51.037777777778,Q45797
